,end_station_name,end_station_description,end_station_latitude,end_station_longitude,frequency_end_station
0,St Andrew Square,North East corner,55.95472778937899,-3.192652969253117,8372
1,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,11940
2,Victoria Quay,Entrance to Scottish Government Office,55.97763778772698,-3.174115590621568,15254
3,Kings Building 3,Kings Building House,55.92347880784664,-3.175384584907078,2979
4,Kings Building 2,Sanderson Building,55.92320215516664,-3.17164624536349,4557
5,Kings Buildings 1,Grant Institute,55.92418540667696,-3.173830830087809,1958
6,Pollock Halls,Pollock Halls Entrance,55.93996346972372,-3.171585934311565,6628
7,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900024788877,-3.173923554315593,4090
8,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432,15225
9,Bristo Square,"Bristo Square, near Potter Row",55.94600418964078,-3.188665492872815,7898
10,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.208070182227743,8212
11,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,2723
12,Portobello,Edinburgh Leisure Tumbles Centre,55.957004308392506,-3.116888118730116,5280
14,George Square,"George Square, south side in front of University library",55.94308406301113,-3.188311072722399,6160
15,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.207101172107286,4980
16,Waverley Bridge,near the top of the South ramp,55.95134439884462,-3.191420998989883,8402
17,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.209247501624645,7315
18,Brunswick Place,Junction Brunswick Street and Elm Row,55.960929747664,-3.181005314780577,8320
19,Waverley Station,Near Calton Road Exit,55.952641035774384,-3.187526919462357,1473
20,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.18417853540609,2378
22,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,1957
23,Lauriston Place,near Chalmers Street,55.94477165233548,-3.197265856419562,3731
26,Shrubhill,Sainsbury's Leith Walk,55.96253727246136,-3.179472670388236,1153
30,Ocean Terminal,Debenhams / Puregym entrance,55.981286014792985,-3.176351263805259,7381
31,Castle Street,Near Rose Street,55.95150073734976,-3.203183906525282,7398
32,Bruntsfield,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871276677,-3.206435329645956,1389
35,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.202037829055143,3872
36,Simon Square,Corner of Simon Square & Gilmour Street,55.944867799682754,-3.182670511194715,2570
37,Warrender Park Road,Corner of Warrender Park Road & Spottiswoode Street,55.938363058645024,-3.198031182386103,3665
39,Dundee Terrace,"Dundee Terrace outside ""glass supplies""",55.93972942415463,-3.220602995527315,8730
40,Dalry Road Lidl,outside Lidl,55.9417543014448,-3.222524291865397,4933
43,Macdonald Road,Macdonald Road,55.96399515097124,-3.185188767893123,1341
44,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503980507732,-3.176686414784853,11052
45,East London Street,Outside St. Mary's Primary School,55.95994339132352,-3.187329201962484,4223
46,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.93639749674367,-3.194252202886105,3084
47,South Trinity Road,Corner of South Trinity Road & Ferry Road,55.97126891219085,-3.207815717530479,6522
48,Inverleith Row,Corner of Inverleith Row & Inverleith Terrace,55.96414559786725,-3.202073560611438,5472
49,Morningside Road,Corner of Morningside Road & Morningside Park by M & S car park,55.92798551356313,-3.209738736635245,5536
50,Meadow Place,Corner of Meadow Place and Melville Drive,55.94030045743447,-3.194591930765,9796
51,Thirlestane Road,Corner of Thirlestane Road & St. Margaret's Place,55.93536510821717,-3.198671326704016,1422
52,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508276879095,-3.223634263956455,1390
53,Colinton Road,Colinton Road outside Starbucks,55.93403480186952,-3.2108032288005,2345
55,Causewayside,Causewayside outside NLS,55.93642987756881,-3.180114903557978,4903
57,Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592062794979,-3.191346079294362,4267
59,Newkirkgate,19 point docking station beside queen victoria monument,55.97070402016615,-3.171623996101516,2331
62,Dundas Street,Corner of Dundas Street & Henderson Row,55.96094446922441,-3.201386994249105,5258
65,Cramond Foreshore,Cramond foreshore by turning circle,55.98002374180832,-3.300622016981151,8827
67,Gladstone Terrace,Corner of Gladstone Terrace & Sciennes ROad,55.93802439880083,-3.184979210204801,2505
68,Comely Bank Road,Between trees on Comely Bank Road,55.95940686974708,-3.215659820662267,5231
70,Crichton Street,Corner of Crichton Street & Potterow,55.94474957118208,-3.186542135633317,2781
71,EICC,Between planters next to EICC,55.94604282192561,-3.210484908343801,3339
72,Roseburn Street,Corner of Roseburn Street & Russell Gardens,55.94446626439512,-3.234541218248978,2254
73,Corstorphine Road,Outside Forestry & Land Scotland,55.94174288122498,-3.271484360775275,1881
75,Tollcross,Outside Piccolino,55.94428069681837,-3.202964359237739,6424
