,end_station_name,end_station_description,end_station_latitude,end_station_longitude,frequency_end_station
13,Launch Day Event,The Meadows,55.94255133939095,-3.191380756192416,49
21,Kings Buildings 4,X-Y Cafe,55.92200087060626,-3.176901814164921,196
24,Victoria Park,Near Craighall Road,55.97424715757633,-3.194482342104265,235
25,Depot,Depot,55.97237325804326,-3.155833150766966,3
27,Riego Street,Riego Street on junction with East Fountainbridge,55.945159896857184,-3.203678290717107,877
28,"Waitrose, Comely Bank",Fettes Avenue,55.95950417668882,-3.223428055375961,749
29,Leith Links,Corner of Vanburgh Place and Lochend Road,55.96919856910954,-3.166884617023356,809
33,Virtual Depot,Virtual Depot,55.97240196356882,-3.155794035109693,2
34,Royal Infirmary,Cycleway off Little France,55.92429517498461,-3.133510335817163,35
38,Gibson Terrace,Outside student accomodation,55.94049262199568,-3.217144191708712,44
41,Dalry Road Co-op,By co-op (outside maplins),55.94271471556419,-3.221430982426,522
42,Whitehouse Loan,Corner of Whitehouse Loan & Bruntsfield Crescent,55.93632904938287,-3.202294536676049,109
54,Novotel,Novotel,55.94489645971535,-3.199635221500898,6
56,Newhaven Road / Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592738157906,-3.191317916099706,316
58,Smarter Travel Station,The Street,53.39552546462075,-2.9901380418724552,3
60,Western General,Western General virtual station across from public multi storey,55.96345848770889,-3.23280956008216,404
61,Pollock Halls Virtual,On pavement corner by the entrance gates,55.94034806856411,-3.172108169850503,177
63,Hillside Crescent 2,East corner of Hillside Crescent & London Road,55.957803310852015,-3.1754794362148,376
64,Hillside Crescent 1,West corner of Hillside Crescent & London Road,55.95791033111316,-3.180692837632364,149
66,Henderson Row,Next to the Edinburgh Academy,55.96026010209808,-3.203912595837096,95
69,Balgreen,Opposite Jenners Depository,55.93893772779211,-3.251173333050928,104
74,Whitehouse Road,Whitehouse road by Sainbury's & bus stop,55.96152699979099,-3.306114175491529,88
76,St. John's Road 2,Outside GuitarGuitar,55.94294485385191,-3.290794069257344,67
77,Murrayfield Avenue,Corner of Murrayfield Avenue & Murrayfield Place,55.94632179137708,-3.236542329964095,275
84,St. John's Road 1,Outside Specsavers,55.94274592050117,-3.281623013233002,64
86,IGMM,IGMM at Western General Hospital,55.96248692705142,-3.232031328469361,510
87,Queensferry Road,Corner of Queensferry Road & Orchard Road,55.95454278693572,-3.23472817617926,51
88,Corstorphine Road - Pinkhill,Corner of Corstorphine Road & Pinkhill,55.942364438846695,-3.265384123501235,21
90,West Newington Place,Corner of West Newington Place & Newington Road,55.93821225851473,-3.17897226737648,18
91,Dunbar’s Close Garden,Inside garden,55.951813501278245,-3.178725911660876,24
92,Corn Exchange - walk cycle event,Temporary event station,55.92701363904687,-3.248556775310362,7
93,Sustrans - walk cycle event,Sustrans car parking space 31 for walk cycle event,55.945452213917534,-3.219679557435938,3
95,Ingliston Park and Ride (19th to 23rd June),Virtual station at Ingliston Park and Ride (19th to 23rd June),55.93909048596021,-3.355912910873826,7
96,Royal Highland Show - West Gate (19th to 23rd June),Virtual station at west gate of RHC (19th to 23rd June),55.94065528387753,-3.381606403941987,2
97,Royal Highland Show - East Gate (19th to 23rd June),Virtual station at east gate of RHC (19th to 23rd June),55.940906749395,-3.3688722251728223,8
98,Meadows - Edinburgh Climate Festival,20 bike virtual station for edinburgh climate festival,55.94173596765826,-3.190360574257738,42
101,Meadow Place 2,0,55.94023763168944,-3.194640214184801,60
102,Bruntsfield links,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871276677,-3.206435329645956,892
104,Drummond Street,Opposite the Pleasance,55.9483365370385,-3.18226129953905,389
105,The Tron,Next to Tron Kirk Royal Mile,55.95003729291336,-3.187821518826922,456
106,RHC - Edinburgh Festival Camping (05th to 26th August),Virtual station for Edinburgh Festival Camping at west gate of RHC (05th to 26th August),55.94065528387753,-3.381606403941987,22
107,Fountain Court  - Apartments (RESIDENTS ONLY),Fountain Court  - Apartments (RESIDENTS ONLY),55.94380585491596,-3.211238456749925,36
