,start_station_name,start_station_description,start_station_latitude,start_station_longitude,frequency_start_station
0,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.207101172107286,8134
1,St Andrew Square,North East corner,55.95474881217642,-3.192773668658787,12218
2,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,9551
4,Kings Building 2,Sanderson Building,55.92320215516664,-3.17164624536349,4096
5,Kings Buildings 1,Grant Institute,55.92418540667696,-3.173830830087809,1936
6,Kings Building 3,Kings Building House,55.92347880784664,-3.175384584907078,3176
7,Pollock Halls,Pollock Halls Entrance,55.93996346972372,-3.171585934311565,9441
8,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900024788877,-3.173923554315593,4782
9,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432,17390
10,Waverley Bridge,near the top of the South ramp,55.95134439884462,-3.191420998989883,8569
11,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,5836
12,Portobello,Edinburgh Leisure Tumbles Centre,55.957004308392506,-3.116888118730116,4039
14,Brunswick Place,Junction Brunswick Street and Elm Row,55.960929747664,-3.181005314780577,7574
15,George Square,"George Square, south side in front of University library",55.94308406301113,-3.188311072722399,6097
16,Bristo Square,"Bristo Square, near Potter Row",55.94600418964078,-3.188665492872815,12846
17,Victoria Quay,Entrance to Scottish Government Office,55.97763778772698,-3.174115590621568,10662
18,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.209247501624645,8464
19,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.18417853540609,2531
20,Lauriston Place,near Chalmers Street,55.94477165233548,-3.197265856419562,6275
21,Waverley Station,Near Calton Road Exit,55.952641035774384,-3.187526919462357,1910
22,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.208070182227743,6219
24,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,3250
30,Ocean Terminal,Debenhams / Puregym entrance,55.981286014792985,-3.176351263805259,5505
31,Castle Street,Near Rose Street,55.95150073734976,-3.203183906525282,8923
32,Bruntsfield,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871276677,-3.206435329645956,2094
34,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.202037829055143,4926
35,Simon Square,Corner of Simon Square & Gilmour Street,55.944867799682754,-3.182670511194715,2656
36,Warrender Park Road,Corner of Warrender Park Road & Spottiswoode Street,55.938363058645024,-3.198031182386103,4757
37,Thirlestane Road,Corner of Thirlestane Road & St. Margaret's Place,55.93536510821717,-3.198671326704016,2055
41,Dalry Road Lidl,outside Lidl,55.9417543014448,-3.222524291865397,4291
42,Dundee Terrace,"Dundee Terrace outside ""glass supplies""",55.93972942415463,-3.220602995527315,8801
44,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503980507732,-3.176686414784853,7964
45,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.93639749674367,-3.194252202886105,4109
46,East London Street,Outside St. Mary's Primary School,55.95994339132352,-3.187329201962484,4239
47,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508276879095,-3.223634263956455,1436
48,Inverleith Row,Corner of Inverleith Row & Inverleith Terrace,55.96414559786725,-3.202073560611438,4215
49,South Trinity Road,Corner of South Trinity Road & Ferry Road,55.97126891219085,-3.207815717530479,5291
50,Colinton Road,Colinton Road outside Starbucks,55.93403480186952,-3.2108032288005,3195
51,Meadow Place,Corner of Meadow Place and Melville Drive,55.94030045743447,-3.194591930765,12464
52,Morningside Road,Corner of Morningside Road & Morningside Park by M & S car park,55.92798551356313,-3.209738736635245,4856
54,Causewayside,Causewayside outside NLS,55.93642987756881,-3.180114903557978,5331
56,Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592062794979,-3.191346079294362,2639
58,Newkirkgate,19 point docking station beside queen victoria monument,55.97070402016615,-3.171623996101516,1437
60,Dundas Street,Corner of Dundas Street & Henderson Row,55.96094446922441,-3.201386994249105,4177
62,Cramond Foreshore,Cramond foreshore by turning circle,55.98002374180832,-3.300622016981151,7313
63,Comely Bank Road,Between trees on Comely Bank Road,55.95940686974708,-3.215659820662267,3846
