,start_station_name,start_station_description,start_station_latitude,start_station_longitude,frequency_start_station
3,Kings Buildings 4,X-Y Cafe,55.92200087060626,-3.176901814164921,254
13,Launch Day Event,The Meadows,55.94255133939095,-3.191380756192416,45
23,Victoria Park,Near Craighall Road,55.97424715757633,-3.194482342104265,178
25,Depot,Depot,55.97237325804326,-3.155833150766966,2
26,Shrubhill,Sainsbury's Leith Walk,55.96253727246136,-3.179472670388236,726
27,Riego Street,Riego Street on junction with East Fountainbridge,55.945159896857184,-3.203678290717107,850
28,"Waitrose, Comely Bank",Fettes Avenue,55.95950417668882,-3.223428055375961,484
29,Leith Links,Corner of Vanburgh Place and Lochend Road,55.96919856910954,-3.166884617023356,503
33,Royal Infirmary,Cycleway off Little France,55.92429517498461,-3.133510335817163,19
38,Dalry Road Co-op,By co-op (outside maplins),55.94271471556419,-3.221430982426,391
39,Whitehouse Loan,Corner of Whitehouse Loan & Bruntsfield Crescent,55.93632904938287,-3.202294536676049,247
40,Gibson Terrace,Outside student accomodation,55.94049262199568,-3.217144191708712,45
43,Macdonald Road,Macdonald Road,55.96399515097124,-3.185188767893123,1015
53,Novotel,Novotel,55.94489645971535,-3.199635221500898,5
55,Newhaven Road / Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592738157906,-3.191317916099706,175
57,Western General,Western General virtual station across from public multi storey,55.96345848770889,-3.23280956008216,366
59,Pollock Halls Virtual,On pavement corner by the entrance gates,55.94034806856411,-3.172108169850503,191
61,Hillside Crescent 2,East corner of Hillside Crescent & London Road,55.957803310852015,-3.1754794362148,328
64,Hillside Crescent 1,West corner of Hillside Crescent & London Road,55.95791033111316,-3.180692837632364,123
70,Murrayfield Avenue,Corner of Murrayfield Avenue & Murrayfield Place,55.94632179137708,-3.236542329964095,266
71,Henderson Row,Next to the Edinburgh Academy,55.96026010209808,-3.203912595837096,91
72,St. John's Road 2,Outside GuitarGuitar,55.94294485385191,-3.290794069257344,56
77,Balgreen,Opposite Jenners Depository,55.93893772779211,-3.251173333050928,85
81,Whitehouse Road,Whitehouse road by Sainbury's & bus stop,55.96152699979099,-3.306114175491529,62
82,Corstorphine Road - Pinkhill,Corner of Corstorphine Road & Pinkhill,55.942364438846695,-3.265384123501235,18
83,St. John's Road 1,Outside Specsavers,55.94274592050117,-3.281623013233002,46
