station_name,station_latitude,station_longitude,date
St Andrew Square,55.95472778937899,-3.192652969253117,2018-09-15
Canonmills,55.96280408759764,-3.196283585062929,2018-09-15
Victoria Quay,55.97763778772698,-3.174115590621568,2018-09-15
Kings Building 3,55.92347880784664,-3.175384584907078,2018-09-16
Kings Building 2,55.92320215516664,-3.17164624536349,2018-09-16
Kings Buildings 1,55.92418540667696,-3.173830830087809,2018-09-16
Pollock Halls,55.93996346972372,-3.171585934311565,2018-09-16
Royal Commonwealth Pool,55.93900024788877,-3.173923554315593,2018-09-16
Meadows East,55.939809466328285,-3.182738850746432,2018-09-16
Bristo Square,55.94600418964078,-3.188665492872815,2018-09-16
Stockbridge,55.95856558589723,-3.208070182227743,2018-09-17
City Chambers,55.95010933017899,-3.190257770093808,2018-09-17
Portobello,55.957004308392506,-3.116888118730116,2018-09-17
Launch Day Event,55.94255133939095,-3.191380756192416,2018-09-17
George Square,55.94308406301113,-3.188311072722399,2018-09-17
Charlotte Square,55.95233546161639,-3.207101172107286,2018-09-17
Waverley Bridge,55.95134439884462,-3.191420998989883,2018-09-17
Fountainbridge,55.94335692764551,-3.209247501624645,2018-09-17
Brunswick Place,55.960929747664,-3.181005314780577,2018-09-17
Waverley Station,55.952641035774384,-3.187526919462357,2018-09-17
Waverley Court,55.95173449698344,-3.18417853540609,2018-09-17
Kings Buildings 4,55.92200087060626,-3.176901814164921,2018-09-17
St Andrews House,55.95316433242384,-3.181682340931843,2018-09-17
Lauriston Place,55.94477165233548,-3.197265856419562,2018-09-17
Victoria Park,55.97424715757633,-3.194482342104265,2018-09-17
Depot,55.97237325804326,-3.155833150766966,2018-09-24
Shrubhill,55.96253727246136,-3.179472670388236,2018-10-02
Riego Street,55.945159896857184,-3.203678290717107,2018-10-03
"Waitrose, Comely Bank",55.95950417668882,-3.223428055375961,2018-10-10
Leith Links,55.96919856910954,-3.166884617023356,2018-10-17
Ocean Terminal,55.981286014792985,-3.176351263805259,2018-10-18
Castle Street,55.95150073734976,-3.203183906525282,2018-10-26
Bruntsfield,55.93715871276677,-3.206435329645956,2018-10-26
Virtual Depot,55.97240196356882,-3.155794035109693,2018-11-08
Royal Infirmary,55.92429517498461,-3.133510335817163,2018-11-26
Castle Terrace,55.94676648672239,-3.202037829055143,2018-11-28
Simon Square,55.944867799682754,-3.182670511194715,2018-12-10
Warrender Park Road,55.938363058645024,-3.198031182386103,2018-12-10
Gibson Terrace,55.94049262199568,-3.217144191708712,2018-12-11
Dundee Terrace,55.93972942415463,-3.220602995527315,2018-12-11
Dalry Road Lidl,55.9417543014448,-3.222524291865397,2018-12-12
Dalry Road Co-op,55.94271471556419,-3.221430982426,2018-12-12
Whitehouse Loan,55.93632904938287,-3.202294536676049,2018-12-12
Macdonald Road,55.96399515097124,-3.185188767893123,2018-12-12
Leith Walk,55.96503980507732,-3.176686414784853,2018-12-12
East London Street,55.95994339132352,-3.187329201962484,2018-12-12
Marchmont Crescent,55.93639749674367,-3.194252202886105,2018-12-13
South Trinity Road,55.97126891219085,-3.207815717530479,2018-12-14
Inverleith Row,55.96414559786725,-3.202073560611438,2018-12-14
Morningside Road,55.92798551356313,-3.209738736635245,2018-12-14
Meadow Place,55.94030045743447,-3.194591930765,2018-12-14
Thirlestane Road,55.93536510821717,-3.198671326704016,2018-12-14
Orchard Brae House,55.95508276879095,-3.223634263956455,2018-12-15
Colinton Road,55.93403480186952,-3.2108032288005,2018-12-16
Novotel,55.94489645971535,-3.199635221500898,2019-01-10
Causewayside,55.93642987756881,-3.180114903557978,2019-01-10
Newhaven Road / Dudley Gardens,55.97592738157906,-3.191317916099706,2019-01-12
Dudley Gardens,55.97592062794979,-3.191346079294362,2019-03-11
Smarter Travel Station,53.39552546462075,-2.9901380418724552,2019-03-22
