,station_name,station_description,station_latitude,station_longitude,frequency_end_station,frequency_start_station,avg_day_end_station,avg_day_start_station,avg_day_different
9,Bristo Square,"Bristo Square, near Potter Row",55.94600418964078,-3.188665492872815,7898,12846.0,8.0,13.0,5.0
0,St Andrew Square,North East corner,55.95472778937899,-3.192652969253117,8372,12218.0,8.0,12.0,4.0
140,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,4372,7001.0,4.0,7.0,3.0
11,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,2723,5836.0,3.0,6.0,3.0
15,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.207101172107286,4980,8134.0,5.0,8.0,3.0
23,Lauriston Place,near Chalmers Street,55.94477165233548,-3.197265856419562,3731,6275.0,4.0,6.0,2.0
6,Pollock Halls,Pollock Halls Entrance,55.93996346972372,-3.171585934311565,6628,9441.0,7.0,9.0,2.0
31,Castle Street,Near Rose Street,55.95150073734976,-3.203183906525282,7398,8923.0,7.0,9.0,2.0
50,Meadow Place,Corner of Meadow Place and Melville Drive,55.94030045743447,-3.194591930765,9796,12464.0,10.0,12.0,2.0
8,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432,15225,17390.0,15.0,17.0,2.0
22,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,1957,3250.0,2.0,3.0,1.0
89,West Crosscauseway,Corner of West Crosscauseway & Buccleugh Street,55.94386198333096,-3.184972223259024,3593,4844.0,4.0,5.0,1.0
157,Forth Bridge Visitors Centre,Off Ferrymuir Gait,55.987743170866025,-3.40375244599943,489,557.0,0.0,1.0,1.0
149,Heriot Watt - Student Accommodation,Outside Anna Macleod Halls,55.90841344459825,-3.328783525816887,429,530.0,0.0,1.0,1.0
146,Royal Edinburgh Hospital,Next to Kennedy Tower,55.92781815597736,-3.213307722203224,428,529.0,0.0,1.0,1.0
144,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735215,1359,2261.0,1.0,2.0,1.0
7,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900024788877,-3.173923554315593,4090,4782.0,4.0,5.0,1.0
125,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.185474585938891,2240,3216.0,2.0,3.0,1.0
112,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.205765497136553,3950,5472.0,4.0,5.0,1.0
105,The Tron,Next to Tron Kirk Royal Mile,55.95003729291336,-3.187821518826922,456,613.0,0.0,1.0,1.0
99,Hunter Square,07 point angled physical docking station,55.94969158307013,-3.18781281937504,2418,2679.0,2.0,3.0,1.0
75,Tollcross,Outside Piccolino,55.94428069681837,-3.202964359237739,6424,6740.0,6.0,7.0,1.0
19,Waverley Station,Near Calton Road Exit,55.952641035774384,-3.187526919462357,1473,1910.0,1.0,2.0,1.0
71,EICC,Between planters next to EICC,55.94604282192561,-3.210484908343801,3339,4170.0,3.0,4.0,1.0
67,Gladstone Terrace,Corner of Gladstone Terrace & Sciennes ROad,55.93802439880083,-3.184979210204801,2505,2635.0,2.0,3.0,1.0
53,Colinton Road,Colinton Road outside Starbucks,55.93403480186952,-3.2108032288005,2345,3195.0,2.0,3.0,1.0
51,Thirlestane Road,Corner of Thirlestane Road & St. Margaret's Place,55.93536510821717,-3.198671326704016,1422,2055.0,1.0,2.0,1.0
46,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.93639749674367,-3.194252202886105,3084,4109.0,3.0,4.0,1.0
37,Warrender Park Road,Corner of Warrender Park Road & Spottiswoode Street,55.938363058645024,-3.198031182386103,3665,4757.0,4.0,5.0,1.0
35,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.202037829055143,3872,4926.0,4.0,5.0,1.0
32,Bruntsfield,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871276677,-3.206435329645956,1389,2094.0,1.0,2.0,1.0
17,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.209247501624645,7315,8464.0,7.0,8.0,1.0
168,Picardy Place,Outside Omni Centre,55.95653524179326,-3.18624761207468,1475,1929.0,1.0,2.0,1.0
